core,oloop,timeout_us,work_type,fire_iter_type,fire_iter,dvfs,joules,time,instructions,ref_cycles,llc_miss,sleep_cnt_0,sleep_cnt_1,sleep_cnt_2,sleep_cnt_3
1,1,2,sum1,time_limit_sec,3,0x1d00,93.896,3.000,557849390,8305329720,82067462,3999,897488,0,0
1,1,2,sum1,time_limit_sec,3,0x1d00,93.834,3.000,558051538,8306224776,82094327,3999,897784,0,0
1,1,2,sum1,time_limit_sec,3,0x1d00,93.815,3.000,560243432,8318115153,82416649,3997,901334,0,0
1,1,2,sum1,time_limit_sec,3,0x1500,73.252,3.000,467146502,8695943625,68769705,4001,752208,0,0
1,1,2,sum1,time_limit_sec,3,0x1500,73.239,3.000,467033625,8694970878,68752358,4002,752015,0,0
1,1,2,sum1,time_limit_sec,3,0x1500,73.217,3.000,467098619,8695502274,68763292,4002,752133,0,0
1,1,4,sum1,time_limit_sec,3,0x1500,72.629,3.000,399991818,8201568097,58920756,4002,643920,0,0
1,1,4,sum1,time_limit_sec,3,0x1500,72.673,3.000,399783786,8199137665,58887489,4002,643560,0,0
1,1,4,sum1,time_limit_sec,3,0x1500,72.670,3.000,400097643,8201377509,58936585,4002,644097,0,0
1,1,2,sum1,time_limit_sec,3,0xd00,57.342,3.000,296347429,8697351604,43747272,3999,477191,0,0
1,1,2,sum1,time_limit_sec,3,0xd00,57.340,3.000,296356112,8697432688,43748227,4000,477197,0,0
1,1,2,sum1,time_limit_sec,3,0xd00,57.360,3.000,296353998,8697434283,43748151,4000,477195,0,0
1,1,4,sum1,time_limit_sec,3,0x1d00,91.301,3.000,404224701,6666452401,59270105,3998,647843,0,0
1,1,4,sum1,time_limit_sec,3,0x1d00,91.309,3.000,403692974,6665864194,59191639,4000,646988,0,0
1,1,4,sum1,time_limit_sec,3,0x1d00,91.335,3.000,403738879,6665744366,59198532,3994,647065,0,0
1,1,4,sum1,time_limit_sec,3,0xd00,57.378,3.000,295254469,8697325823,43440255,4000,475431,0,0
1,1,4,sum1,time_limit_sec,3,0xd00,57.353,3.000,295289853,8698320871,43445909,4000,475495,0,0
1,1,4,sum1,time_limit_sec,3,0xd00,57.365,3.000,295263150,8697677129,43437394,4000,475452,0,0
1,1,8,sum1,time_limit_sec,3,0x1d00,83.118,3.000,185497793,4764696694,26540533,3994,289879,0,0
1,1,8,sum1,time_limit_sec,3,0x1d00,83.454,3.000,185423432,4763016608,26540615,3995,289878,0,0
1,1,8,sum1,time_limit_sec,3,0x1d00,83.310,3.000,185472378,4766147535,26542987,3993,289904,0,0
1,1,8,sum1,time_limit_sec,3,0x1500,67.986,3.000,175462009,4878925084,25631013,3993,280019,0,0
1,1,8,sum1,time_limit_sec,3,0x1500,67.953,3.000,175385684,4879543654,25618392,3989,279878,0,0
1,1,8,sum1,time_limit_sec,3,0x1500,67.949,3.000,175473766,4877951032,25626512,3990,279972,0,0
1,1,8,sum1,time_limit_sec,3,0xd00,55.852,3.000,169402640,5734532674,24598659,3986,268714,0,0
1,1,8,sum1,time_limit_sec,3,0xd00,55.841,3.000,168426599,5737551951,24607734,3985,268797,0,0
1,1,8,sum1,time_limit_sec,3,0xd00,55.834,3.000,168651453,5732528136,24533558,3987,268035,0,0
1,1,16,sum1,time_limit_sec,3,0x1d00,59.307,3.000,105532786,3628512277,15557759,4002,169940,0,0
1,1,16,sum1,time_limit_sec,3,0x1d00,59.347,3.000,105543964,3628767738,15559068,4002,169958,0,0
1,1,16,sum1,time_limit_sec,3,0x1d00,59.430,3.000,105540238,3626781383,15558380,3999,169952,0,0
1,1,16,sum1,time_limit_sec,3,0x1500,56.009,3.000,103928122,3573564817,15320543,4000,167356,0,0
1,1,16,sum1,time_limit_sec,3,0x1500,56.033,3.000,103984633,3578234658,15328919,4000,167447,0,0
1,1,16,sum1,time_limit_sec,3,0x1500,55.973,3.000,103979044,3576781555,15328193,4002,167438,0,0
1,1,16,sum1,time_limit_sec,3,0xd00,53.867,3.000,104845339,3658333702,15456911,4002,168833,0,0
1,1,16,sum1,time_limit_sec,3,0xd00,53.835,3.000,104867074,3658845871,15460179,4001,168868,0,0
1,1,16,sum1,time_limit_sec,3,0xd00,53.832,3.000,104853412,3658510718,15458204,4002,168846,0,0
1,1,32,sum1,time_limit_sec,3,0x1d00,53.271,3.000,55538307,1940984645,8190077,4002,89424,0,0
1,1,32,sum1,time_limit_sec,3,0x1d00,53.250,3.000,55540469,1941069847,8189820,4002,89421,0,0
1,1,32,sum1,time_limit_sec,3,0x1d00,53.255,3.000,55539066,1941083970,8189668,4002,89419,0,0
1,1,32,sum1,time_limit_sec,3,0x1500,53.271,3.000,55534213,1941053433,8190623,4002,89427,0,0
1,1,32,sum1,time_limit_sec,3,0x1500,53.247,3.000,55533592,1941122221,8190417,4002,89426,0,0
1,1,32,sum1,time_limit_sec,3,0x1500,53.279,3.000,55533592,1941005757,8190435,4002,89426,0,0
1,1,32,sum1,time_limit_sec,3,0xd00,53.342,3.000,55536697,1942183128,8190730,4002,89431,0,0
1,1,32,sum1,time_limit_sec,3,0xd00,53.305,3.000,55536076,1942952353,8190972,4002,89430,0,0
1,1,32,sum1,time_limit_sec,3,0xd00,53.297,3.000,55534834,1942993301,8190684,4002,89428,0,0
1,1,64,sum1,time_limit_sec,3,0x1d00,52.719,3.000,28801106,493152076,10084,4002,46378,0,0
1,1,64,sum1,time_limit_sec,3,0x1d00,52.743,3.000,28804924,492920743,10081,4004,46380,0,0
1,1,64,sum1,time_limit_sec,3,0x1d00,52.725,3.000,28802992,493030827,10088,4004,46380,0,0
1,1,64,sum1,time_limit_sec,3,0x1500,52.736,3.000,28801405,493013746,10089,4004,46379,0,0
1,1,64,sum1,time_limit_sec,3,0x1500,52.716,3.000,28802026,493070441,10082,4004,46380,0,0
1,1,64,sum1,time_limit_sec,3,0x1500,52.716,3.000,28801405,492942551,10078,4004,46379,0,0
1,1,64,sum1,time_limit_sec,3,0xd00,52.719,3.000,28801405,493010933,10089,4004,46379,0,0
1,1,64,sum1,time_limit_sec,3,0xd00,52.708,3.000,28800784,493355308,10085,4004,46378,0,0
1,1,64,sum1,time_limit_sec,3,0xd00,52.710,3.000,28802647,492990517,10089,4004,46381,0,0
1,1,128,sum1,time_limit_sec,3,0x1d00,52.658,3.000,14546971,252308845,9694,4004,23425,0,0
1,1,128,sum1,time_limit_sec,3,0x1d00,52.653,3.000,14546971,252639213,9709,4004,23425,0,0
1,1,128,sum1,time_limit_sec,3,0x1d00,52.701,3.000,14550681,252118605,9702,4004,23432,0,0
1,1,128,sum1,time_limit_sec,3,0x1500,52.680,3.000,14546971,252319372,9708,4004,23425,0,0
1,1,128,sum1,time_limit_sec,3,0x1500,52.668,3.000,14546971,252334713,9702,4004,23425,0,0
1,1,128,sum1,time_limit_sec,3,0x1500,52.648,3.000,14546971,252444217,9692,4004,23425,0,0
1,1,128,sum1,time_limit_sec,3,0xd00,52.648,3.000,14546971,252451612,9700,4004,23425,0,0
1,1,128,sum1,time_limit_sec,3,0xd00,52.647,3.000,14546971,253498541,9694,4004,23425,0,0
1,1,128,sum1,time_limit_sec,3,0xd00,52.643,3.000,14547592,252251628,9695,4004,23426,0,0
1,1,256,sum1,time_limit_sec,3,0x1d00,52.616,3.000,9168192,160633784,9603,4004,11727,0,0
1,1,256,sum1,time_limit_sec,3,0x1d00,52.641,3.000,9168192,160754975,9610,4004,11727,0,0
1,1,256,sum1,time_limit_sec,3,0x1d00,52.609,3.000,9168192,160657854,9561,4004,11727,0,0
1,1,256,sum1,time_limit_sec,3,0x1500,52.631,3.000,9168974,160375858,9584,4004,11728,0,0
1,1,256,sum1,time_limit_sec,3,0x1500,52.596,3.000,9168974,160483622,9580,4004,11728,0,0
1,1,256,sum1,time_limit_sec,3,0x1500,52.597,3.000,9168192,160597273,9616,4004,11727,0,0
1,1,256,sum1,time_limit_sec,3,0xd00,52.611,3.000,9168974,160466512,9623,4004,11728,0,0
1,1,256,sum1,time_limit_sec,3,0xd00,52.597,3.000,9168192,160617051,9610,4004,11727,0,0
1,1,256,sum1,time_limit_sec,3,0xd00,52.620,3.000,9168192,160621285,9614,4004,11727,0,0
